compound	140905_32_1_RT_pos.mzML	140905_32_2_RT_pos.mzML	140905_32_3_RT_pos.mzML	140905_2_1_RT_pos.mzML	140905_2_2_RT_pos.mzML	140905_2_3_RT_pos.mzML	140905_2_4_RT_pos.mzML	140905_0_5_2_RT_pos.mzML	140905_0_5_3_RT_pos.mzML	140905_0_5_4_RT_pos.mzML	140905_16_3_RT_pos.mzML	140905_16_1_RT_pos.mzML	140905_16_2_RT_pos.mzML	140905_16_4_RT_pos.mzML	140905_0_1_RT_pos.mzML	140905_0_2_RT_pos.mzML	140905_0_3_RT_pos.mzML	140905_0_4_RT_pos.mzML	140905_1_2_RT_pos.mzML	140905_1_1_RT_pos.mzML	140905_1_3_RT_pos.mzML	140905_1_4_RT_pos.mzML	140905_8_1_RT_pos.mzML	140905_8_2_RT_pos.mzML	140905_8_3_RT_pos.mzML	140905_8_4_RT_pos.mzML	140905_4_2_RT_pos.mzML	140905_4_3_RT_pos.mzML	140905_4_1_RT_pos.mzML	140905_4_4_RT_pos.mzML	
hypoxanthine	610488.49	687708.14	722960.54	4156604.96	3731661.19	2265589.07	2088416.63	4951318.01	5175206.16	5644598.42	1411209.67	1238445.16	1337445.60	971799.01	3812642.18	4270335.68	3422124.52	4299854.07	4411307.91	5373664.14	4219917.01	4449687.42	2084318.99	2015142.66	1922722.12	1997625.92	3266301.84	2498452.38	2999921.69	2390734.20	
Glutamine	288882.36	346133.40	422068.42	1223582.87	910737.82	533168.62	554056.57	957057.00	1092421.45	1244843.61	867898.30	592951.41	703486.54	467794.45	779189.70	821238.50	602867.16	908689.94	858994.30	1585483.31	812553.58	915249.42	856367.98	809596.53	752472.61	757764.76	1315861.87	707256.88	896656.99	647108.91	
lysine	2749123.60	3199865.75	3924708.77	4809304.37	4000713.03	1701025.71	1659052.12	3518287.26	3941010.74	5134639.19	4621238.34	3403019.32	3865388.65	2633630.83	3703223.04	3528407.57	3060474.18	4533595.46	3268419.50	5022188.49	3081839.32	3495059.67	3221433.00	3085292.76	2860369.31	2913567.33	4555381.82	2475886.82	3633443.02	2103051.87	
glutamate	446631.20	566678.42	451077.75	43075888.41	36875962.39	24963312.85	24924925.33	20311652.21	21554304.05	32880366.26	3148796.95	1659614.07	2560315.54	1464851.58	28925509.21	24392902.51	31510911.26	28402218.45	21252537.34	28301151.67	17025984.98	22327018.53	23869666.39	23812743.86	20687508.30	23968476.10	38166520.21	23499014.65	32291929.66	22582870.24	
methionine	52647.57	21664.10	71998.21	422559.18	365226.85	221642.93	203793.59	264452.22	313634.80	409502.62	289693.68	167470.62	259522.82	119034.02	258702.77	253631.79	227269.95	281735.44	299535.34	406715.10	252758.27	271692.83	273974.21	286839.72	267027.08	269383.50	444139.51	255436.16	349362.67	247402.25	
Guanine	172291.40	196296.58	204271.47	1431728.92	162761.72	20566.56	20551.99	3855881.74	4325981.14	3987024.06	320263.99	275018.56	291899.44	240427.51	2209417.38	3628640.48	37291.80	42476.01	3221291.47	3910171.92	2693177.63	2438973.03	479899.34	482946.11	458007.05	497162.94	1180119.31	923462.05	1031761.78	956192.82	
phenylalanine	516357.08	615013.67	651618.05	2329654.54	2089472.50	638569.94	615126.19	1803204.13	1970761.26	2408992.26	946380.73	761108.66	846386.24	610986.10	1780746.06	1748791.26	1659931.41	1927801.51	1760943.42	2408270.67	1662787.79	1823667.54	1281842.92	1310293.08	1237315.37	1340581.93	2113142.60	1475953.58	1802973.44	1371963.61	
citrulline	1770097.90	2038858.04	2530189.98	4967818.11	4075243.64	2600868.22	2466789.04	3779383.30	4139416.37	5339815.62	4314283.28	3106432.98	3621201.73	2325420.40	3653454.06	3628789.85	3375908.51	4936029.00	3655643.51	5923660.30	3400102.92	3815462.84	3555474.38	3475409.69	3268874.61	3028212.46	4713186.30	2672983.46	3474115.63	2529697.66	
tyrosine	190086.42	227752.81	236988.18	1417622.04	1212400.03	764928.20	726330.96	1092804.85	1214017.63	1497887.33	656675.46	504985.45	600191.54	387929.83	1024356.35	1029418.36	903176.00	1151018.27	1046696.47	1486994.02	1004969.81	1098205.39	836086.68	823598.49	790155.89	812453.87	1298923.67	837767.78	1074508.88	802453.02	
histidine-betaine	7199548.41	8526874.20	10415702.06	13119401.80	8710452.06	5770600.98	6061243.42	8567230.61	8865877.54	10854821.80	12247107.96	9058838.97	9511551.44	5898442.95	8497223.47	9201392.34	6177849.59	5829688.67	8090571.83	11423649.25	8710193.14	8971714.27	10579824.58	7818434.54	9020092.53	9764966.62	14075611.46	10171649.74	11333621.90	8335470.76	
Acetylglutamate	1708.61	2629.89	2156.41	2470613.55	2486216.43	1819063.03	1541742.88	656829.51	631402.68	1439480.67	9760.16	4209.56	9259.63	5983.90	1756806.65	1162169.90	1776004.04	2127733.81	759745.16	561175.34	464394.98	730027.50	662315.40	874288.59	648887.27	713345.82	1530969.73	697356.54	1580737.83	887331.67	
mercaptohistidine betaine	155300.39	197146.57	221135.81	3656137.90	3246700.54	1666334.28	1789167.64	1890124.82	2264480.40	2930155.11	308484.37	177973.87	325881.46	166598.61	1823601.53	1658332.12	997763.77	2450834.50	2020719.88	3271133.65	2088598.40	2377008.69	1110886.22	970169.72	1009527.44	923699.34	2052074.50	1544278.97	2626819.00	1307032.22	
